,0
1.0,3.739025330254145e-05
2.0,4.854474153159352e-05
3.0,4.1306091457147954e-05
4.0,4.48764025767235e-05
5.0,0.0001423719383640193
6.0,7.824705468383442e-05
7.0,0.00010837758751490192
8.0,0.00011717470501404329
9.0,0.00028179309991663157
10.0,3.7990747001810554e-05
11.0,3.4862738910294516e-05
12.0,3.808702218932449e-05
13.0,7.223882545302228e-05
14.0,8.970271273128614e-05
15.0,3.741047804337906e-05
16.0,3.818737097218749e-05
17.0,0.00019714124887194902
18.0,0.004461868094142774
19.0,7.07384905271795e-05
20.0,5.7370407675333746e-05
21.0,5.847768499673666e-05
22.0,0.0001057460402195902
23.0,0.0015576731962888945
24.0,6.69400241601823e-05
25.0,3.899688380760511e-05
26.0,8.423787414830734e-05
27.0,0.00022586519589935645
28.0,3.656500185617969e-05
29.0,3.849644654641297e-05
30.0,3.6229303810918475e-05
31.0,3.728009321474395e-05
32.0,6.464239983053037e-05
33.0,5.2056176577940045e-05
34.0,8.22551255089374e-05
35.0,3.77288027993202e-05
36.0,6.076923434863505e-05
37.0,0.00022480287916473176
38.0,3.6323531243129535e-05
39.0,3.777583816382866e-05
40.0,0.00029839302225076003
41.0,0.002990454130051917
42.0,3.9690213856687256e-05
43.0,3.7335572687029134e-05
44.0,0.00020470202405753233
45.0,6.108124811129227e-05
46.0,0.0008291061766798841
47.0,4.3824873737657176e-05
48.0,9.910185451262324e-05
49.0,3.7713490380353155e-05
50.0,7.631171486040523e-05
51.0,0.00012135110439421595
52.0,0.0002583625058114742
53.0,9.858608343632982e-05
54.0,0.0001506274265999538
55.0,6.216877638509805e-05
56.0,9.554718096774225e-05
57.0,0.00023368128913182874
58.0,7.979667871162724e-05
59.0,3.811725609577652e-05
60.0,5.212458580144455e-05
61.0,3.695922803179239e-05
62.0,0.00011786574116557943
63.0,5.961327681022119e-05
64.0,0.00031116518299899537
65.0,4.17389403889005e-05
66.0,7.993995459475035e-05
67.0,0.00017368549481653372
68.0,0.0005698096771382492
69.0,0.006644440639999388
70.0,8.32057446252592e-05
71.0,3.689962009627419e-05
72.0,0.00022430724000522815
73.0,9.483141181487941e-05
74.0,0.0016780682501623602
75.0,3.7470208388845234e-05
76.0,8.12489768308636e-05
77.0,0.00015760178386501657
78.0,4.0215692087570156e-05
79.0,7.615149700772053e-05
80.0,9.740944868193697e-05
81.0,0.00023077041609606447
82.0,8.10604096153952e-05
83.0,3.77288027993202e-05
84.0,0.00015591527617555526
85.0,0.00010270805834266819
86.0,3.767867235150501e-05
87.0,0.0001225448038647731
88.0,6.761228434768644e-05
89.0,8.406762909623805e-05
90.0,0.00026852889776344835
91.0,3.951578702546814e-05
92.0,3.777583816382866e-05
93.0,5.8541803126737404e-05
94.0,4.457231682652464e-05
95.0,5.6699863688156225e-05
96.0,0.00019335848969109404
97.0,0.0001250557666812123
98.0,3.861000474258001e-05
99.0,9.570653937884608e-05
100.0,5.613432525097318e-05
101.0,3.7036444723464566e-05
102.0,7.892426361975288e-05
103.0,3.950869524975061e-05
104.0,0.00023274677090089028
105.0,0.00020475236040320415
106.0,8.087451315263101e-05
107.0,4.016048108099128e-05
108.0,0.0001616817556995949
109.0,7.595753174957365e-05
110.0,0.00031974508411066035
111.0,8.283727276261923e-05
112.0,4.347966978551526e-05
113.0,4.0006486719660455e-05
114.0,4.601521682934892e-05
115.0,3.9839273455202874e-05
116.0,7.887402723772365e-05
117.0,0.00016115968264339954
118.0,5.069116274525512e-05
119.0,3.734423853141187e-05
120.0,0.0002820320634411003
121.0,3.77288027993202e-05
122.0,4.0006486719660455e-05
123.0,5.6631014234969656e-05
124.0,3.434932907242169e-05
125.0,5.999211738229421e-05
126.0,0.0007032783279550164
127.0,3.55169978813423e-05
128.0,3.906518177322903e-05
129.0,4.016048108099128e-05
130.0,3.603108276457846e-05
131.0,0.00018577990937217683
132.0,4.925389548438983e-05
133.0,3.847390433127787e-05
134.0,3.893026211815277e-05
135.0,3.5315334125716146e-05
136.0,3.800558496308178e-05
137.0,0.00018588905035379433
138.0,3.66547348254092e-05
139.0,3.632608609045999e-05
140.0,0.0001444959801555978
141.0,9.908340864159838e-05
142.0,6.303429091910591e-05
143.0,0.0002365019872867931
144.0,0.00037694742953994325
145.0,0.00020353928102642831
146.0,0.00019630484663137293
147.0,0.00016532645437155984
148.0,4.8052034286503304e-05
149.0,0.00046976308379988386
150.0,3.632608609045999e-05
151.0,9.859729593080077e-05
152.0,3.557626095954706e-05
153.0,5.994606900336278e-05
154.0,3.614788872662172e-05
155.0,5.7718960741607233e-05
156.0,6.304625769003438e-05
157.0,0.0008905851251452345
158.0,3.689962009627419e-05
159.0,5.906165970861458e-05
160.0,5.4727666306149476e-05
161.0,6.346273587426614e-05
162.0,0.00012024394058770686
163.0,9.098899285662218e-05
164.0,0.00014503139354566361
165.0,0.00018621606211254157
166.0,0.00017380468034398179
167.0,3.98773096101197e-05
168.0,0.0005636625590230484
169.0,9.972737400102155e-05
170.0,0.00012130694779037459
171.0,3.777583816382866e-05
172.0,0.00014618095112191483
173.0,5.510278720418629e-05
174.0,6.2412839387633e-05
175.0,3.899688380760511e-05
176.0,0.0002062190995879608
177.0,4.016048108099128e-05
178.0,4.0017304872395165e-05
179.0,0.00010837758751490192
180.0,0.00012375433726943635
181.0,4.1908643602787824e-05
182.0,0.00019576138862752453
183.0,3.7032334743498613e-05
184.0,8.833145783853334e-05
185.0,8.22933870566689e-05
186.0,3.7204396369126314e-05
187.0,3.977218965830997e-05
188.0,0.00011072535884698691
189.0,3.66547348254092e-05
190.0,7.83757552076516e-05
191.0,0.00021973719227734128
192.0,3.7990747001810554e-05
193.0,5.906414419006457e-05
194.0,3.665073106947603e-05
195.0,7.927547834497603e-05
196.0,0.00016021047501506676
197.0,0.00012458182079691193
198.0,3.9278401074862265e-05
199.0,0.00020666456160701888
200.0,0.00011957619546628408
201.0,4.479622943575353e-05
202.0,3.77288027993202e-05
203.0,5.472497519404825e-05
204.0,5.2056176577940045e-05
205.0,4.030326704565226e-05
206.0,0.00020133268228074886
207.0,0.00018547580369907677
208.0,0.00012911171575998736
209.0,7.324429338395841e-05
210.0,9.898892249208646e-05
211.0,0.00022647468109527567
212.0,5.878539155931106e-05
213.0,3.7049373756593204e-05
214.0,0.00010001192445079275
215.0,9.488023772185593e-05
216.0,5.763552881017554e-05
217.0,4.3153355022765206e-05
218.0,3.776742794606803e-05
219.0,0.00013120363939519595
220.0,3.79460856854813e-05
221.0,0.0002727316594651452
222.0,0.00031854066789760557
223.0,4.763253829217224e-05
224.0,5.984846254928075e-05
225.0,3.751664045520059e-05
226.0,0.00010837758751490192
227.0,5.801002089998154e-05
228.0,0.00012556241238635866
229.0,0.0001274325432340046
230.0,3.722823987068436e-05
231.0,9.254805022128822e-05
232.0,6.205445354035124e-05
233.0,3.886961027849729e-05
234.0,0.009855725172798395
235.0,9.0210072989139e-05
236.0,0.00014365038529166207
237.0,4.0713030836215113e-05
238.0,8.70522390930829e-05
239.0,0.00013849927216989333
240.0,0.0001694843713026039
241.0,3.766396637708253e-05
242.0,6.301234419424076e-05
243.0,9.81263403257443e-05
244.0,6.781477576065767e-05
245.0,0.00011317238673690229
246.0,0.00010057381480826853
247.0,0.0002858115483227151
248.0,3.8804537925908546e-05
249.0,0.0002174167938355614
250.0,0.00016015907781833554
251.0,0.00012198054644295579
252.0,3.483372459466182e-05
253.0,7.223918013222092e-05
254.0,5.761464191965038e-05
255.0,0.00015193620544315042
256.0,6.695056833002973e-05
257.0,9.673735159620432e-05
258.0,0.00012123082943983133
259.0,3.744845696009638e-05
260.0,3.62216947056106e-05
261.0,3.861000474258001e-05
262.0,0.000142025336958922
263.0,6.284118891715438e-05
264.0,3.977218965830997e-05
265.0,3.6707424473892334e-05
266.0,3.9690213856687256e-05
267.0,3.98773096101197e-05
268.0,0.0002745127690440641
269.0,9.839275858917915e-05
270.0,3.861000474258001e-05
271.0,3.730612894648275e-05
272.0,0.00021699110626550644
273.0,5.308483722953591e-05
274.0,3.713741233092289e-05
275.0,4.1908643602787824e-05
276.0,3.6600146136268216e-05
277.0,3.575943375717828e-05
278.0,0.00023462767230794234
279.0,0.00015280902090125523
280.0,3.839543050818184e-05
281.0,3.7536713474225244e-05
282.0,0.0001419148580642086
283.0,3.709424669009361e-05
284.0,3.7594354724724616e-05
285.0,0.00035432722209838594
286.0,0.000550893569688938
287.0,0.0001233020719633112
288.0,3.722823987068436e-05
289.0,7.489745020981025e-05
290.0,8.329888629680415e-05
291.0,3.93525998748604e-05
292.0,0.00032471954302796364
293.0,0.00010297322802279614
294.0,4.214909007126419e-05
295.0,4.1290050551842314e-05
296.0,3.752911783260266e-05
297.0,6.396349831182066e-05
298.0,3.7447216309115296e-05
299.0,3.632608609045999e-05
300.0,3.760598333017061e-05
301.0,4.016048108099128e-05
302.0,5.767743875430845e-05
303.0,5.7197997531006014e-05
304.0,0.0010149327338078902
305.0,6.214513867592495e-05
306.0,3.8152541575842986e-05
307.0,3.9085634162987615e-05
308.0,0.00012610354327394094
309.0,6.668373957389025e-05
310.0,3.708835915897022e-05
311.0,0.00012726895266088018
312.0,0.00011348226854665972
313.0,3.4111846205331784e-05
314.0,5.874736333495809e-05
315.0,3.6044918060394974e-05
316.0,6.111720704668008e-05
317.0,3.787731059909628e-05
318.0,0.00016257310449881913
319.0,0.0004331189300068546
320.0,0.0001852221024738487
321.0,3.752911783260266e-05
322.0,0.00011345695321461658
323.0,0.0001023931679741211
324.0,3.9524986592833894e-05
325.0,6.084422759053514e-05
326.0,3.6295754900173694e-05
327.0,3.7990747001810554e-05
328.0,0.00013168511197997733
329.0,0.00013223124060599096
330.0,0.00010603487367132896
331.0,3.9524986592833894e-05
332.0,0.00032902647550942844
333.0,3.6239286029520994e-05
334.0,0.00015982437183070046
335.0,3.7046038975191974e-05
336.0,0.0005387601806994328
337.0,0.0001282711703573903
338.0,0.0001275525765738471
339.0,3.5795795724465965e-05
340.0,0.00017628194408507577
341.0,7.242285190429421e-05
342.0,3.974534916048955e-05
343.0,0.00018260151992424475
344.0,6.281129816039345e-05
345.0,9.249557173417353e-05
346.0,4.854474153159352e-05
347.0,0.0005467210559148657
348.0,8.15957957079531e-05
349.0,3.633011330406512e-05
350.0,0.00014436416478869456
351.0,0.0002876573393977705
352.0,0.00012007973936361794
353.0,5.5121136678525204e-05
354.0,0.00016620520061157523
355.0,3.632608609045999e-05
356.0,0.0001303048674030733
357.0,0.0004279632681058807
358.0,4.016048108099128e-05
359.0,3.866895446472078e-05
360.0,0.00011677190567774718
361.0,3.974534916048955e-05
